graph,order,size,time,iterations,error,technique,tolerance
"min-1DeadEnd","5","6","0.001","17","0","pagerank","0"
"min-1DeadEnd","5","6","0","1","0.10885","pagerankL1Norm","1"
"min-1DeadEnd","5","6","0","1","0.10885","pagerankL2Norm","1"
"min-1DeadEnd","5","6","0","1","0.10885","pagerankLiNorm","1"
"min-1DeadEnd","5","6","0","2","0.078916","pagerankL1Norm","0.5"
"min-1DeadEnd","5","6","0","1","0.10885","pagerankL2Norm","0.5"
"min-1DeadEnd","5","6","0","1","0.10885","pagerankLiNorm","0.5"
"min-1DeadEnd","5","6","0","4","0.0096129","pagerankL1Norm","0.1"
"min-1DeadEnd","5","6","0","2","0.078916","pagerankL2Norm","0.1"
"min-1DeadEnd","5","6","0","2","0.078916","pagerankLiNorm","0.1"
"min-1DeadEnd","5","6","0","4","0.0096129","pagerankL1Norm","0.05"
"min-1DeadEnd","5","6","0.004","5","0.0062465","pagerankL2Norm","0.05"
"min-1DeadEnd","5","6","0","4","0.0096129","pagerankLiNorm","0.05"
"min-1DeadEnd","5","6","0","6","0.0031911","pagerankL1Norm","0.01"
"min-1DeadEnd","5","6","0","5","0.0062465","pagerankL2Norm","0.01"
"min-1DeadEnd","5","6","0","5","0.0062465","pagerankLiNorm","0.01"
"min-1DeadEnd","5","6","0","7","0.00091683","pagerankL1Norm","0.005"
"min-1DeadEnd","5","6","0.002","13","0.0000075996","pagerankL2Norm","0.005"
"min-1DeadEnd","5","6","0","6","0.0031911","pagerankLiNorm","0.005"
"min-1DeadEnd","5","6","0","8","0.00049516","pagerankL1Norm","0.001"
"min-1DeadEnd","5","6","0.002","16","6.482e-7","pagerankL2Norm","0.001"
"min-1DeadEnd","5","6","0","8","0.00049516","pagerankLiNorm","0.001"
"min-1DeadEnd","5","6","0.001","10","0.000084504","pagerankL1Norm","0.0005"
"min-1DeadEnd","5","6","0.002","19","2.0862e-7","pagerankL2Norm","0.0005"
"min-1DeadEnd","5","6","0","8","0.00049516","pagerankLiNorm","0.0005"
"min-1DeadEnd","5","6","0.001","11","0.000038482","pagerankL1Norm","0.0001"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","0.0001"
"min-1DeadEnd","5","6","0.001","11","0.000038482","pagerankLiNorm","0.0001"
"min-1DeadEnd","5","6","0.001","13","0.0000075996","pagerankL1Norm","0.00005"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","0.00005"
"min-1DeadEnd","5","6","0.001","11","0.000038482","pagerankLiNorm","0.00005"
"min-1DeadEnd","5","6","0.001","14","0.0000027567","pagerankL1Norm","0.00001"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","0.00001"
"min-1DeadEnd","5","6","0.001","14","0.0000027567","pagerankLiNorm","0.00001"
"min-1DeadEnd","5","6","0.001","15","0.0000018999","pagerankL1Norm","0.000005"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","0.000005"
"min-1DeadEnd","5","6","0.001","14","0.0000027567","pagerankLiNorm","0.000005"
"min-1DeadEnd","5","6","0.001","17","0","pagerankL1Norm","0.000001"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","0.000001"
"min-1DeadEnd","5","6","0.001","17","0","pagerankLiNorm","0.000001"
"min-1DeadEnd","5","6","0.002","18","3.5763e-7","pagerankL1Norm","5e-7"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","5e-7"
"min-1DeadEnd","5","6","0.001","17","0","pagerankLiNorm","5e-7"
"min-1DeadEnd","5","6","0.002","20","2.3097e-7","pagerankL1Norm","1e-7"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","1e-7"
"min-1DeadEnd","5","6","0.001","20","2.3097e-7","pagerankLiNorm","1e-7"
"min-1DeadEnd","5","6","0.002","21","2.3842e-7","pagerankL1Norm","5e-8"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","5e-8"
"min-1DeadEnd","5","6","0.001","20","2.3097e-7","pagerankLiNorm","5e-8"
"min-1DeadEnd","5","6","0.002","21","2.3842e-7","pagerankL1Norm","1e-8"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","1e-8"
"min-1DeadEnd","5","6","0.002","21","2.3842e-7","pagerankLiNorm","1e-8"
"min-1DeadEnd","5","6","0.002","22","2.3842e-7","pagerankL1Norm","5e-9"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","5e-9"
"min-1DeadEnd","5","6","0.002","22","2.3842e-7","pagerankLiNorm","5e-9"
"min-1DeadEnd","5","6","0.002","22","2.3842e-7","pagerankL1Norm","1e-9"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","1e-9"
"min-1DeadEnd","5","6","0.002","22","2.3842e-7","pagerankLiNorm","1e-9"
"min-1DeadEnd","5","6","0.002","22","2.3842e-7","pagerankL1Norm","5e-10"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","5e-10"
"min-1DeadEnd","5","6","0.002","22","2.3842e-7","pagerankLiNorm","5e-10"
"min-1DeadEnd","5","6","0.002","22","2.3842e-7","pagerankL1Norm","1e-10"
"min-1DeadEnd","5","6","0.003","22","2.3842e-7","pagerankL2Norm","1e-10"
"min-1DeadEnd","5","6","0.002","22","2.3842e-7","pagerankLiNorm","1e-10"
"min-2SCC","8","12","0.004","40","0","pagerank","0"
"min-2SCC","8","12","0","1","0.40009","pagerankL1Norm","1"
"min-2SCC","8","12","0","1","0.40009","pagerankL2Norm","1"
"min-2SCC","8","12","0","1","0.40009","pagerankLiNorm","1"
"min-2SCC","8","12","0","1","0.40009","pagerankL1Norm","0.5"
"min-2SCC","8","12","0","1","0.40009","pagerankL2Norm","0.5"
"min-2SCC","8","12","0","1","0.40009","pagerankLiNorm","0.5"
"min-2SCC","8","12","0","5","0.034808","pagerankL1Norm","0.1"
"min-2SCC","8","12","0","2","0.24957","pagerankL2Norm","0.1"
"min-2SCC","8","12","0","1","0.40009","pagerankLiNorm","0.1"
"min-2SCC","8","12","0","5","0.034808","pagerankL1Norm","0.05"
"min-2SCC","8","12","0","6","0.026837","pagerankL2Norm","0.05"
"min-2SCC","8","12","0","4","0.062807","pagerankLiNorm","0.05"
"min-2SCC","8","12","0.001","10","0.0048759","pagerankL1Norm","0.01"
"min-2SCC","8","12","0.004","11","0.0034588","pagerankL2Norm","0.01"
"min-2SCC","8","12","0","6","0.026837","pagerankLiNorm","0.01"
"min-2SCC","8","12","0.001","11","0.0034588","pagerankL1Norm","0.005"
"min-2SCC","8","12","0.002","20","0.0002046","pagerankL2Norm","0.005"
"min-2SCC","8","12","0.001","10","0.0048759","pagerankLiNorm","0.005"
"min-2SCC","8","12","0.001","17","0.00047717","pagerankL1Norm","0.001"
"min-2SCC","8","12","0.003","27","0.000027832","pagerankL2Norm","0.001"
"min-2SCC","8","12","0.001","14","0.00096785","pagerankLiNorm","0.001"
"min-2SCC","8","12","0.002","19","0.00023992","pagerankL1Norm","0.0005"
"min-2SCC","8","12","0.004","29","0.000012662","pagerankL2Norm","0.0005"
"min-2SCC","8","12","0.001","16","0.0006481","pagerankLiNorm","0.0005"
"min-2SCC","8","12","0.002","24","0.0000592","pagerankL1Norm","0.0001"
"min-2SCC","8","12","0.006","45","6.5565e-7","pagerankL2Norm","0.0001"
"min-2SCC","8","12","0.002","21","0.0001213","pagerankLiNorm","0.0001"
"min-2SCC","8","12","0.004","27","0.000027832","pagerankL1Norm","0.00005"
"min-2SCC","8","12","0.007","50","5.5879e-7","pagerankL2Norm","0.00005"
"min-2SCC","8","12","0.002","24","0.0000592","pagerankLiNorm","0.00005"
"min-2SCC","8","12","0.003","33","0.0000037178","pagerankL1Norm","0.00001"
